catalog_order,track,category,subcategory,format,title,series_number,duration,upload_date,views,video_id,url,description
59,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 10,10,7:53,2022-02-18,1148,x4psNfjZK8Q,https://www.youtube.com/watch?v=x4psNfjZK8Q,"0:00 - Question
0:56 - Answer and Explanation
2:41 - Main ddx
3:32 - Other wrong choices and ddx"
60,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 11,11,8:51,2022-05-01,2167,7A93zqzw1Lk,https://www.youtube.com/watch?v=7A93zqzw1Lk,"0:00 - Question
0:54 - Answer and Explanation
2:21 - Other wrong choices and differential diagnosis"
61,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 12,12,6:31,2022-09-05,2057,R_4EiXGDLyc,https://www.youtube.com/watch?v=R_4EiXGDLyc,"0:00 - Question
0:54 - Answer and Explanation
2:14 - Other wrong choices and differential diagnosis
#neuroradiology 
Neonatal hypoglycemic encephalopathy"
62,Board Review Cases,Board review — pediatric,Numbered case series,Long-form case review,Neuroradiology Board Review - Pediatric Case 13,13,5:58,2022-10-29,2662,jxEWuMAtNOw,https://www.youtube.com/watch?v=jxEWuMAtNOw,"0:00 - Question
0:59 - Answer and Explanation
2:39 - Differential diagnosis and other wrong choices
#neuroradiology 
ossified cephalohematoma"
63,Board Review Cases,Board review — index,Case navigation,Long-form orientation,Board Review Case List 1 to 40,,2:35,2022-03-18,933,3iKb7Ocd3Xk,https://www.youtube.com/watch?v=3iKb7Ocd3Xk,
64,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #1,1,0:50,2023-03-18,2048,tc6SzVbXBdQ,https://www.youtube.com/watch?v=tc6SzVbXBdQ,"Overly simplified and overly generalized question, for quick core exam review only."
65,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #2,2,0:42,2023-03-18,2520,Ce21j8TN_k8,https://www.youtube.com/watch?v=Ce21j8TN_k8,"Overly simplified and overly generalized question, for quick core exam review only."
66,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #3,3,0:40,2023-03-18,1934,xtwZzk_aov8,https://www.youtube.com/watch?v=xtwZzk_aov8,"Overly simplified and overly generalized question, for quick core exam review only."
67,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #4,4,0:45,2023-03-18,1879,klUSQBJcnU8,https://www.youtube.com/watch?v=klUSQBJcnU8,"Overly simplified and overly generalized question, for quick core exam review only."
68,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #5,5,0:47,2023-03-18,2089,F7hwAB8E0cQ,https://www.youtube.com/watch?v=F7hwAB8E0cQ,"Overly simplified and overly generalized question, for quick core exam review only."
69,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #6,6,0:33,2023-03-18,2565,8xcD0-50xYg,https://www.youtube.com/watch?v=8xcD0-50xYg,"Overly simplified and overly generalized question, for the sole purpose of quick core exam review."
70,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #7,7,0:55,2023-03-18,3450,5abKlm_-I_w,https://www.youtube.com/watch?v=5abKlm_-I_w,"Overly simplified and overly generalized question, for the sole purpose of quick core exam review."
71,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #8,8,0:44,2023-03-19,2332,6B3UXwzy2FQ,https://www.youtube.com/watch?v=6B3UXwzy2FQ,"Overly simplified and overly generalized question, for the sole purpose of quick core exam review."
72,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #9,9,0:44,2023-03-18,2236,HYajR4JFhpA,https://www.youtube.com/watch?v=HYajR4JFhpA,"Overly simplified and overly generalized question, for the sole purpose of quick core exam review."
73,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #10,10,0:44,2023-03-18,2072,ePVcROXCXkI,https://www.youtube.com/watch?v=ePVcROXCXkI,"Overly simplified and overly generalized question, for the sole purpose of quick core exam review."
74,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #11,11,0:54,2023-03-25,2122,NV1nmK9bURQ,https://www.youtube.com/watch?v=NV1nmK9bURQ,"Overly simplified and overly generalized question, for the sole purpose of quick core exam review."
75,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #12,12,0:46,2023-03-30,1804,BPyfmss-MYE,https://www.youtube.com/watch?v=BPyfmss-MYE,"Overly simplified and overly generalized question, for the sole purpose of quick core exam review."
76,Core Exam / Buzzword Cases,Buzzword Neuro Core Exam,Individual rapid case,Short case review,Buzzword Neuro Core Exam #13,13,0:50,2023-03-30,1933,I4JA1CiDjGs,https://www.youtube.com/watch?v=I4JA1CiDjGs,"Overly simplified and overly generalized question, for the sole purpose of quick core exam review."
